Exposure,Outcome,warning
Operative procedures - secondary OPCS: G44.5 Fibreoptic endoscopic percutaneous insertion of gastrostomy || id:UKB-b:1074,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: G44.5 Fibreoptic endoscopic percutaneous insertion of gastrostomy || id:UKB-b:1074,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Z60.9 Muscle NEC || id:UKB-b:1075,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Z60.9 Muscle NEC || id:UKB-b:1075,Chang et al. 2017,lowcase
Treatment/medication code: zestoretic 10 tablet || id:UKB-b:1076,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Treatment/medication code: zestoretic 10 tablet || id:UKB-b:1076,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: M49.8 Other specified other operations on bladder || id:UKB-b:1077,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: M49.8 Other specified other operations on bladder || id:UKB-b:1077,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: Z80.8 Family history of malignant neoplasm of other organs or systems || id:UKB-b:1078,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: Z80.8 Family history of malignant neoplasm of other organs or systems || id:UKB-b:1078,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: M23.83 Other internal derangements of knee (Medial collateral ligament or Other and unspecified medial meniscus) || id:UKB-b:1079,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M23.83 Other internal derangements of knee (Medial collateral ligament or Other and unspecified medial meniscus) || id:UKB-b:1079,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: G44.1 Fibreoptic endoscopic insertion of prosthesis into upper gastrointestinal tract || id:UKB-b:108,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: G44.1 Fibreoptic endoscopic insertion of prosthesis into upper gastrointestinal tract || id:UKB-b:108,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: H71 Cholesteatoma of middle ear || id:UKB-b:1080,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: H71 Cholesteatoma of middle ear || id:UKB-b:1080,Chang et al. 2017,lowcase
Diagnoses - main ICD10: I70.9 Generalised and unspecified atherosclerosis || id:UKB-b:1081,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: I70.9 Generalised and unspecified atherosclerosis || id:UKB-b:1081,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M43.16 Spondylolisthesis (Lumbar region) || id:UKB-b:1082,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - main ICD9: 5908 Pyelonephritis or pyonephrosis,not specified as acute or chronic || id:UKB-b:1083",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD9: 5908 Pyelonephritis or pyonephrosis, not specified as acute or chronic || id:UKB-b:1083",Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: E13.1 Drainage of maxillary antrum NEC || id:UKB-b:1084,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: E13.1 Drainage of maxillary antrum NEC || id:UKB-b:1084,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M22.2 Patellofemoral disorders || id:UKB-b:1085,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: M22.2 Patellofemoral disorders || id:UKB-b:1085,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: F32.0 Mild depressive episode || id:UKB-b:1086,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: F32.0 Mild depressive episode || id:UKB-b:1086,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: T43.2 Other and unspecified antidepressants || id:UKB-b:1087,Chang et al. 2017,snp
Treatment/medication code: lipid lowering drug || id:UKB-b:1088,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: lipid lowering drug || id:UKB-b:1088,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: G81.1 Spastic hemiplegia || id:UKB-b:1089,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: G81.1 Spastic hemiplegia || id:UKB-b:1089,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: B27.9 Infectious mononucleosis,unspecified || id:UKB-b:109",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: B27.9 Infectious mononucleosis, unspecified || id:UKB-b:109",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: N83.5 Torsion of ovary,ovarian pedicle and Fallopian tube || id:UKB-b:1090",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: N83.5 Torsion of ovary, ovarian pedicle and Fallopian tube || id:UKB-b:1090",Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: D26.0 Cervix uteri || id:UKB-b:1091,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: D26.0 Cervix uteri || id:UKB-b:1091,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: D26.0 Cervix uteri || id:UKB-b:1091,Nalls et al. 2014,lowcase
Treatment/medication code: one-alpha 250nanograms capsule || id:UKB-b:1093,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: one-alpha 250nanograms capsule || id:UKB-b:1093,Chang et al. 2017,lowcase
Operative procedures - main OPCS: V26.4 Revisional posterior laminectomy decompression of lumbar spine || id:UKB-b:1094,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: V26.4 Revisional posterior laminectomy decompression of lumbar spine || id:UKB-b:1094,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 7271 Bunion || id:UKB-b:1095,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 7271 Bunion || id:UKB-b:1095,Chang et al. 2017,lowcase
Heel bone mineral density (BMD) (left) || id:UKB-b:1096,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Heel bone mineral density (BMD) (left) || id:UKB-b:1096,Chang et al. 2017,lowcase
Heel bone mineral density (BMD) (left) || id:UKB-b:1096,Nalls et al. 2014,lowcase
External causes: Y04.5 Trade and service area || id:UKB-b:1098,Nalls et al. 2019 (clinically diagnosed cases),lowcase
External causes: Y04.5 Trade and service area || id:UKB-b:1098,Chang et al. 2017,lowcase
Treatment/medication code: amlostin 5mg tablet || id:UKB-b:11,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Treatment/medication code: amlostin 5mg tablet || id:UKB-b:11,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: N27.1 Excision of lesion of penis || id:UKB-b:110,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: N27.1 Excision of lesion of penis || id:UKB-b:110,Chang et al. 2017,lowcase
Diagnoses - main ICD10: K52.8 Other specified non-infective gastro-enteritis and colitis || id:UKB-b:1101,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: K25.7 Chronic without haemorrhage or perforation || id:UKB-b:1102,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: K25.7 Chronic without haemorrhage or perforation || id:UKB-b:1102,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: H11.2 Colectomy and side to side anastomosis of ileum to colon NEC || id:UKB-b:1103,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: H11.2 Colectomy and side to side anastomosis of ileum to colon NEC || id:UKB-b:1103,Chang et al. 2017,lowcase
Operative procedures - main OPCS: T12.8 Other specified puncture of pleura || id:UKB-b:1104,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: T12.8 Other specified puncture of pleura || id:UKB-b:1104,Chang et al. 2017,lowcase
Diagnoses - main ICD10: J47 Bronchiectasis || id:UKB-b:1105,Chang et al. 2017,snp
Diagnoses - secondary ICD10: M34.8 Other forms of systemic sclerosis || id:UKB-b:1107,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: M34.8 Other forms of systemic sclerosis || id:UKB-b:1107,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: O41.0 Oligohydramnios || id:UKB-b:1108,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: O41.0 Oligohydramnios || id:UKB-b:1108,Chang et al. 2017,lowcase
Treatment speciality of consultant (recoded): Genito-urinary medicine || id:UKB-b:1109,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment speciality of consultant (recoded): Genito-urinary medicine || id:UKB-b:1109,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Q17.9 Unspecified therapeutic endoscopic operations on uterus || id:UKB-b:111,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Q17.9 Unspecified therapeutic endoscopic operations on uterus || id:UKB-b:111,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: R18.2 Lower uterine segment caesarean delivery NEC || id:UKB-b:1110,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: R18.2 Lower uterine segment caesarean delivery NEC || id:UKB-b:1110,Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: T93.3 Sequelae of dislocation, sprain and strain of lower limb || id:UKB-b:1111",Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: S01.2 Facelift NEC || id:UKB-b:1112,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: S01.2 Facelift NEC || id:UKB-b:1112,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: S09.8 Other specified injuries of head || id:UKB-b:1113,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: S09.8 Other specified injuries of head || id:UKB-b:1113,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: G61.1 Bypass of jejunum by anastomosis of jejunum to jejunum || id:UKB-b:1114,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: G61.1 Bypass of jejunum by anastomosis of jejunum to jejunum || id:UKB-b:1114,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: E88894 Other and unspecifiedfall(at: sports place) || id:UKB-b:1115,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD9: E88894 Other and unspecifiedfall(at: sports place) || id:UKB-b:1115,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: J43.2 Centrilobular emphysema || id:UKB-b:1116,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: J43.2 Centrilobular emphysema || id:UKB-b:1116,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: O43.1 Malformation of placenta || id:UKB-b:1118,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: O43.1 Malformation of placenta || id:UKB-b:1118,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: F10.1 Full dental clearance || id:UKB-b:112,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: F10.1 Full dental clearance || id:UKB-b:112,Chang et al. 2017,lowcase
"Non-cancer illness code,self-reported: vasculitis || id:UKB-b:1120",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Non-cancer illness code, self-reported: vasculitis || id:UKB-b:1120",Chang et al. 2017,snp+lowcase
"Non-cancer illness code, self-reported: vasculitis || id:UKB-b:1120",Nalls et al. 2014,snp+lowcase
Treatment/medication code: co-phenotrope || id:UKB-b:1122,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: co-phenotrope || id:UKB-b:1122,Chang et al. 2017,lowcase
Treatment/medication code: co-phenotrope || id:UKB-b:1122,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD9: E8121 Other r.t.a. between 2 motor vehicles (i/p pass.in vehicle ex. m/cycle) || id:UKB-b:1123,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD9: E8121 Other r.t.a. between 2 motor vehicles (i/p pass.in vehicle ex. m/cycle) || id:UKB-b:1123,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: E8121 Other r.t.a. between 2 motor vehicles (i/p pass.in vehicle ex. m/cycle) || id:UKB-b:1123,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: M79.67 Pain in limb (Ankle and foot) || id:UKB-b:1124,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: M79.67 Pain in limb (Ankle and foot) || id:UKB-b:1124,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: M79.67 Pain in limb (Ankle and foot) || id:UKB-b:1124,Nalls et al. 2014,snp+lowcase
Operative procedures - main OPCS: K57.5 Percutaneous transluminal ablation of atrial wall NEC || id:UKB-b:1125,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: K57.5 Percutaneous transluminal ablation of atrial wall NEC || id:UKB-b:1125,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: K57.5 Percutaneous transluminal ablation of atrial wall NEC || id:UKB-b:1125,Nalls et al. 2014,snp+lowcase
Treatment/medication code: irbesartan+hydrochlorothiazide 150mg/12.5mg tablet || id:UKB-b:1126,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: irbesartan+hydrochlorothiazide 150mg/12.5mg tablet || id:UKB-b:1126,Chang et al. 2017,snp+lowcase
Treatment/medication code: irbesartan+hydrochlorothiazide 150mg/12.5mg tablet || id:UKB-b:1126,Nalls et al. 2014,snp+lowcase
Diagnoses - main ICD10: Z04.1 Examination and observation following transport accident || id:UKB-b:1127,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: Z04.1 Examination and observation following transport accident || id:UKB-b:1127,Chang et al. 2017,lowcase
Diagnoses - main ICD10: Z04.1 Examination and observation following transport accident || id:UKB-b:1127,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: D17.5 Benign lipomatous neoplasm of intra-abdominal organs || id:UKB-b:1128,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: D17.5 Benign lipomatous neoplasm of intra-abdominal organs || id:UKB-b:1128,Chang et al. 2017,lowcase
Diagnoses - main ICD10: D17.5 Benign lipomatous neoplasm of intra-abdominal organs || id:UKB-b:1128,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: T07.1 Decortication of pleura || id:UKB-b:1129,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: T07.1 Decortication of pleura || id:UKB-b:1129,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: T07.1 Decortication of pleura || id:UKB-b:1129,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: S82.6 Fracture of lateral malleolus || id:UKB-b:113,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: S82.6 Fracture of lateral malleolus || id:UKB-b:113,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: S82.6 Fracture of lateral malleolus || id:UKB-b:113,Nalls et al. 2014,snp+lowcase
"Non-cancer illness code,self-reported: fracture jaw || id:UKB-b:1131",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Non-cancer illness code, self-reported: fracture jaw || id:UKB-b:1131",Chang et al. 2017,snp+lowcase
"Non-cancer illness code, self-reported: fracture jaw || id:UKB-b:1131",Nalls et al. 2014,snp+lowcase
Operative procedures - main OPCS: W77.5 Periarticular osteotomy for stabilisation of joint || id:UKB-b:1132,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: W77.5 Periarticular osteotomy for stabilisation of joint || id:UKB-b:1132,Chang et al. 2017,lowcase
Operative procedures - main OPCS: W77.5 Periarticular osteotomy for stabilisation of joint || id:UKB-b:1132,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: S14.2 Shave biopsy of lesion of skin NEC || id:UKB-b:1133,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: S14.2 Shave biopsy of lesion of skin NEC || id:UKB-b:1133,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: S14.2 Shave biopsy of lesion of skin NEC || id:UKB-b:1133,Nalls et al. 2014,snp+lowcase
Operative procedures - secondary OPCS: L95.1 Venography || id:UKB-b:1134,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: L95.1 Venography || id:UKB-b:1134,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: L95.1 Venography || id:UKB-b:1134,Nalls et al. 2014,snp+lowcase
"Diagnoses - secondary ICD10: E23.7 Disorder of pituitary gland,unspecified || id:UKB-b:1135",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: E23.7 Disorder of pituitary gland, unspecified || id:UKB-b:1135",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: E23.7 Disorder of pituitary gland, unspecified || id:UKB-b:1135",Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: Y28.9 Unspecified place || id:UKB-b:1136,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Y28.9 Unspecified place || id:UKB-b:1136,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Y28.9 Unspecified place || id:UKB-b:1136,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: S48.2 Insertion of skin expander into subcutaneous tissue of breast || id:UKB-b:1137,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: S48.2 Insertion of skin expander into subcutaneous tissue of breast || id:UKB-b:1137,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: S48.2 Insertion of skin expander into subcutaneous tissue of breast || id:UKB-b:1137,Nalls et al. 2014,snp+lowcase
6mm strong meridian angle (right) || id:UKB-b:1138,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
